iter	RMSE
0	3242.112683
1	3124.192066
2	2980.744773
3	2843.862444
4	2711.780551
5	2582.61795
6	2462.770043
7	2353.088423
8	2248.649206
9	2146.117253
10	2050.053824111	1966.160932112	1881.013969113	1801.462811114	1727.52821
15	1651.431226
16	1583.906918
17	1520.945911
18	1460.679635
19	1403.255072
20	1346.98283
21	1295.843775
22	1245.078078
23	1198.012311
24	1152.98605
25	1112.050256
26	1074.351702
27	1036.198285
28	998.51364
29	963.9257269
30	932.663796
31	899.7265055
32	868.8364014
33	843.8583555
34	816.8670432
335	790.1852022336	763.8627364337	741.9456811338	721.5886101339	700.7802812
40	683.1193725
41	664.5787046
42	645.615031
43	629.348287
44	613.1832546
45	597.4056128
46	583.1570978
47	569.9763521
48	558.513677
49	547.3060234
50	536.9070203
51	527.9997359
52	517.861487
53	509.42396
54	507.281508
55	500.2557117
56	492.431553
57	490.4373172
58	488.3083271
59	486.4083495
60	484.4462617
61	482.5703162
62	480.7098257
63	475.7392131
64	468.5337103
65	466.8611338
66	465.2273026
67	457.9923023
68	456.3138675
69	452.0781875
70	450.4790614
71	448.9943296
72	443.8209779
73	442.2531431
74	440.7080144
75	435.0971699
76	433.6623007
77	432.2934155
78	431.1652699
79	429.8602795
80	424.2443026
81	422.902197
82	421.5925488
83	414.5575561
84	413.3217379
85	408.5794551
86	407.4195299
87	406.3488485
88	401.1422257
89	400.0876709
90	399.199606
91	394.0238792
92	390.7278381
93	389.5927609
94	388.3767116
95	387.5508414
96	386.780477
97	385.9038163
98	383.1983412
99	379.7043188
100	374.743606
101	373.8771293
102	373.1076296
103	372.3647926
104	371.6329855
105	368.0916007
106	366.3999158
107	365.6963751
108	365.0667079
109	364.1876494
110	363.4522589
111	359.7333582
112	358.963797
113	355.3692473
114	354.8555412
115	352.3247314
116	350.0605125
117	349.5216248
118	348.9862362
119	348.5279025
120	348.0115457
121	347.5489052
122	347.0627104
123	343.3663881
124	342.6818045
125	340.7364773
126	340.2937547
127	339.8162827
128	336.9663953
129	335.9001708
130	335.4775669
131	333.1019593
132	332.551334
133	332.2202426
134	331.8594542
135	329.4490589
136	329.0437697
137	328.6172013
138	326.1479128
139	325.7912111
140	325.483598
141	323.3530679
142	321.1518365
143	319.9349483
144	319.6831301
145	317.6881966
146	315.6119396
147	314.7959611
148	314.3017516
149	314.0288947
150	313.8090715
151	312.0614788
152	310.9667267
153	308.9729187
154	307.1863452
155	306.981162
156	305.8177226
157	303.5918996
158	302.0622539
159	301.7366694
160	301.3681213
161	301.1100825
162	300.9455604
163	300.0547372
164	299.8546709
165	298.3393293
166	298.1375025
167	297.172191
168	295.696921
169	294.6317623
170	294.4816572
171	294.3374578
172	294.1370518
173	292.8180656
174	292.6832321
175	292.1627341
176	292.0307861
177	291.1083717
178	290.9882665
179	290.5335904
180	289.9598395
181	288.5991619
182	287.6007724
183	287.495108
184	287.377834
185	286.2722921
186	284.8953828
187	284.4178175
188	284.3097638
189	284.2155137
190	283.3797881
191	283.2811816
192	282.468945
193	281.8872801
194	281.109607
195	280.6874896
196	279.7351731
197	279.2624003
198	279.136286
199	279.0520626
200	278.2119636
201	278.0968402
202	277.2595769
203	276.8835693
204	276.8126539
205	276.6254124
206	276.5146355
207	275.6555814
208	275.5522027
209	275.4880988
210	274.816424
211	274.3184339
212	274.2314722
213	274.033242
214	273.1511573
215	272.7197873
216	272.6408123
217	272.5643536
218	272.2457888
219	272.1688345
220	272.0493418
221	271.0979685
222	270.5438238
223	270.4343622
224	269.6976744
225	268.7508134
226	268.3879303
227	268.2881929
228	267.7489681
229	267.0530079
230	266.4212402
231	265.794908
232	265.0565433
233	264.5846508
234	263.9648208
235	263.3050319
236	262.7642299
237	262.5104421
238	262.3218127
239	261.5650626
240	260.7463288
241	260.6695754
242	260.0012122
243	259.3946243
244	259.1364612
245	258.5716256
246	257.9724261
247	257.413925
248	256.8276114
249	256.2959723
250	255.3283651
251	254.8234805
252	254.7694028
253	254.4669586
254	254.0179924
255	253.5304819
256	253.1374995
257	252.2512125
258	251.8638003
259	250.9933681
260	250.6554561
261	250.2036898
262	249.7278399
263	249.3336001
264	248.8568259
265	248.4372881
266	248.0353657
267	247.6856326
268	247.0875046
269	246.6562915
270	245.9875009
271	245.6171743
272	245.040589
273	244.3706674
274	244.0675149
275	243.3888992
276	243.1255861
277	242.8074719
278	242.5535228
279	242.1679396
280	241.445058
281	241.0324174
282	240.5816516
283	240.1029504
284	239.522309
285	239.284415
286	238.870292
287	238.3190213
288	237.6405204
289	237.2455461
290	236.9275718
291	236.626888
292	236.1221549
293	235.7790325
294	235.2235786
295	234.8923645
296	234.3815172
297	234.086352
298	233.6592801
299	233.4039956
300	232.9473865
301	232.6507606
302	232.3427611
303	232.0830759
304	231.7864132
305	231.4901136
306	230.9788126
307	230.8854808
308	230.4619852
309	230.2101181
310	229.995533
311	229.5337708
312	229.2916466
313	228.8851382
314	228.6437166
315	228.3450423
316	227.8540073
317	227.5345313
318	227.2185053
319	226.9105725
320	226.6544765
321	226.4038078
322	226.2708473
323	225.7540446
324	225.5114519
325	225.3029115
326	225.1092192
327	224.8112119
328	224.7200266
329	224.5312685
330	224.1853666
331	224.0016395
332	223.5707683
333	222.9896807
334	222.6133986
335	222.4085261
336	222.1130326
337	221.8986785
338	221.6835302
339	221.5339334
340	221.3240127
341	221.0010968
342	220.599001
343	220.3887209
344	219.8854243
345	219.7486133
346	219.2519615
347	218.7612079
348	218.2814343
349	218.0480956
350	217.5878975
351	217.173505
352	216.7239655
353	216.3633343
354	215.9430121
355	215.5188925
356	215.1375407
357	214.9679371
358	214.5634355
359	214.3146616
360	213.9243219
361	213.7601471
362	213.4483693
363	213.0536409
364	212.6999391
365	212.4799077
366	212.2035583
367	211.9430777
368	211.564843
369	211.415288
370	211.0793411
371	210.8670164
372	210.4261079
373	210.2416853
374	209.9340653
375	209.6058254
376	209.2669269
377	208.9821161
378	208.8297429
379	208.5243496
380	208.2049777
381	207.8812102
382	207.5974834
383	207.292211
384	206.9614247
385	206.6676721
386	206.4426075
387	206.2006586
388	206.1241857
389	205.8752886
390	205.5261087
391	205.3293202
392	205.1083677
393	204.8433425
394	204.6585965
395	204.4027715
396	204.1536873
397	203.6537535
398	203.5266376
399	203.3766497
400	203.112006
401	202.9518764
402	202.8304806
403	202.5754671
404	202.378484
405	202.184476
406	202.0357212
407	201.939201
408	201.7187062
409	201.5654229
410	201.4261282
411	201.2629066
412	201.1126522
413	200.8443654
414	200.4765828
415	200.3333068
416	200.1028013
417	200.0081935
418	199.8066485
419	199.4850411
420	199.3182795
421	199.0739876
422	198.9300754
423	198.779925
424	198.708681
425	198.4618252
426	198.1983617
427	198.0074663
428	197.833881
429	197.5019403
430	197.3733189
431	197.1994087
432	197.0043146
433	196.9199803
434	196.7316328
435	196.6634206
436	196.5410568
437	196.3537347
438	196.2484213
439	196.1752746
440	195.970776
441	195.7717286
442	195.4942973
443	195.2004171
444	194.9240084
445	194.8537788
446	194.7241257
447	194.5586019
448	194.372134
449	194.2553468
450	194.1186683
451	194.0049228
452	193.8229065
453	193.6924427
454	193.4468998
455	193.2693171
456	193.1824085
457	193.0430075
458	192.8881258
459	192.7674488
460	192.6784228
461	192.5138362
462	192.3893748
463	192.3154265
464	192.1905708
465	192.0897536
466	191.8795704
467	191.7053606
468	191.5358064
469	191.4425922
470	191.2940562
471	191.2234874
472	191.0806783
473	190.9069966
474	190.8533936
475	190.6909358
476	190.5068602
477	190.378458
478	190.2092924
479	190.0538297
