iter	Passed	Remaining
0	3	3513
1	7	3581
2	10	353033	13	343544	17	346755	20	347466	24	3437
7	27	3411
8	30	338399	34	3376
10	37	3411
11	43	3555
12	46	3545
13	50	3571
14	54	3609
15	58	3591
16	62	3588
17	66	3624
18	70	3636
19	73	3617
20	77	3618
21	81	3620
22	84	3609
23	88	3591
24	92	3595
25	96	3600
26	99	3585
27	103	3576
28	106	3577
29	110	3581
30	113	3560
31	118	3575
32	121	3570
33	125	3552
34	128	3545
35	35	146	3936	36	149	3937	37	153	3838	38	157	3839	39	161	3878
40	165	3867
41	168	3852
42	172	3831
43	176	3825
44	179	3809
45	182	3784
46	185	3767
47	189	3749
48	192	3726
49	194	3704
50	198	3688
51	201	3676
52	205	3666
53	208	3654	54	210	3655	55	213	3603
56	217	3657	57	220	3558	58	223	3559	59	226	3560	60	230	3547
61	233	3529
62	236	3524
63	239	3509
64	243	3507
65	245	3466	66	247	3467	67	250	3468	68	254	3469	69	257	3470	70	260	3471	71	265	3416
72	269	3416
73	270	3374	74	274	3384
75	278	3385
76	282	3382
77	286	3383
78	288	3365
79	292	3362
80	295	3353
81	299	3352
82	301	3332
83	304	3325
84	307	3307
85	311	3313
86	314	3301
87	317	3294
88	321	3288
89	324	3281
90	327	3273
91	330	3264
92	333	3256
93	336	3245
94	339	3238
95	342	3227
96	344	3206
97	346	3188
98	349	3181
99	352	3173
100	356	3170
101	359	3162
102	362	3152
103	364	3141
104	367	3131
105	370	3124
106	373	3118
107	376	3111
108	379	3104
109	383	3100
110	385	3091
111	389	3084
112	391	3074
113	395	3070
114	396	3053
115	400	3049
116	403	3045
117	405	3032
118	409	3028
119	411	3017
120	413	3005
121	416	2999
122	418	2987
123	422	2985
124	425	2979
125	428	2975
126	431	2966
127	434	2962
128	439	2967
129	442	2962
130	445	2958
131	449	2952
132	452	2950
133	454	2937
134	456	2923
135	460	2924
136	462	2914
137	466	2912
138	469	2910
139	472	2905
140	476	2905
141	480	2905
142	484	2903
143	487	2897
144	489	2883
145	492	2881
146	496	2880
147	499	2874
148	502	2867
149	504	2859
150	506	2850
151	510	2846
152	513	2840
153	516	2837
154	519	2832
155	538	2911
156	541	2907
157	545	2908
158	548	2903
159	552	2901
160	555	2895
161	559	2894
162	561	2884
163	564	2879
164	567	2874
165	571	2871
166	574	2864
167	577	2862
168	581	2858
169	584	2852
170	587	2847
171	589	2836
172	592	2832
173	595	2827
174	599	2823
175	601	2818
176	604	2812
177	607	2806
178	609	2795
179	613	2792
180	615	2786
181	619	2783
182	622	2778
183	623	2767
184	625	2757
185	629	2755
186	633	2752
187	635	2746
188	639	2742
189	641	2736
190	645	2735
191	647	2725
192	651	2723
193	654	2718
194	657	2716
195	661	2713
196	665	2714
197	669	2711
198	672	2708
199	675	2702
200	679	2700
201	682	2694
202	686	2693
203	688	2688
204	691	2681
205	694	2678
206	698	2677
207	702	2673
208	705	2668
209	708	2664
210	711	2658
211	714	2656
212	717	2651
213	720	2647
214	724	2644
215	727	2641
216	730	2637
217	733	2632
218	736	2628
219	740	2623
220	741	2614
221	745	2612
222	749	2610
223	750	2601
224	754	2597
225	757	2594
226	761	2591
227	762	2581
228	765	2578
229	768	2573
230	773	2574
231	776	2571
232	780	2569
233	783	2565
234	787	2564
235	792	2564
236	796	2564
237	800	2562
238	803	2558
239	807	2556
240	810	2553
241	812	2545
242	815	2541
243	819	2539
244	822	2535
245	826	2533
246	829	2529
247	833	2526
248	836	2522
249	839	2519
250	842	2515
251	846	2512
252	847	2503
253	850	2499
254	854	2495
255	857	2492
256	862	2493
257	865	2489
258	868	2486
259	872	2482
260	875	2478
261	878	2475
262	881	2471
263	885	2467
264	888	2463
265	891	2459
266	894	2456
267	897	2451
268	900	2447
269	903	2443
270	906	2439
271	909	2434
272	912	2430
273	916	2427
274	919	2423
275	922	2418
276	925	2414
